Label	Count
1.00 - 651.70	651
651.70 - 1302.40	651
1302.40 - 1953.10	651
1953.10 - 2603.80	650
2603.80 - 3254.50	651
3254.50 - 3905.20	651
3905.20 - 4555.90	650
4555.90 - 5206.60	651
5206.60 - 5857.30	651
5857.30 - 6508.00	651
0.00 - 3800.00	6,453
3800.00 - 7600.00	37
7600.00 - 11400.00	12
11400.00 - 15200.00	2
15200.00 - 19000.00	1
19000.00 - 22800.00	1
22800.00 - 26600.00	1
34200.00 - 38000.00	1
0.00 - 17.00	6,413
17.00 - 34.00	66
34.00 - 51.00	10
51.00 - 68.00	9
68.00 - 85.00	4
85.00 - 102.00	1
102.00 - 119.00	1
119.00 - 136.00	1
153.00 - 170.00	1
0.00 - 5.50	3,384
5.50 - 11.00	2,616
11.00 - 16.50	414
16.50 - 22.00	63
22.00 - 27.50	24
27.50 - 33.00	3
33.00 - 38.50	2
38.50 - 44.00	1
49.50 - 55.00	1
